# FIT DURATION: 0.011
# RUN	 PULSE	 FULL FIT FREQ	 FULL FIT CHISQ	 FULL FIT RMS	 NOISE		 PHASE FREQ	 PHASE - FULL	 PHASE-FILT FREQ	 PHASE-FILT - FULL
8	 1	 9685.527	 1.44558	 2.7574e-03	 2.2934e-03	 9686.12570	 0.59909	 9685.54396		 0.01735
8	 2	 9685.445	 1.18036	 2.4959e-03	 2.2973e-03	 9686.16902	 0.72439	 9685.64506		 0.20043
8	 3	 9685.464	 1.22066	 2.5780e-03	 2.3334e-03	 9685.77763	 0.31345	 9685.61885		 0.15466
8	 4	 9685.672	 1.20870	 2.5530e-03	 2.3221e-03	 9685.80716	 0.13551	 9685.85107		 0.17942
8	 6	 9685.401	 1.20312	 2.5356e-03	 2.3117e-03	 9685.96921	 0.56869	 9685.49428		 0.09377
8	 7	 9685.322	 1.24226	 2.5191e-03	 2.2602e-03	 9685.47803	 0.15558	 9685.56217		 0.23972
8	 8	 9685.675	 1.34960	 2.6389e-03	 2.2715e-03	 9686.35710	 0.68163	 9685.83284		 0.15738
8	 9	 9685.103	 1.23119	 2.6000e-03	 2.3432e-03	 9685.93730	 0.83474	 9685.47979		 0.37723
8	 11	 9685.378	 1.24808	 2.5528e-03	 2.2850e-03	 9685.17909	 -0.19886	 9685.43231		 0.05435
8	 12	 9685.889	 1.32606	 2.5232e-03	 2.1911e-03	 9685.85950	 -0.02974	 9685.87644		 -0.01280
8	 13	 9685.611	 1.15575	 2.5079e-03	 2.3328e-03	 9685.96270	 0.35151	 9685.67163		 0.06044
8	 14	 9685.131	 1.22761	 2.4999e-03	 2.2562e-03	 9685.34608	 0.21487	 9684.97383		 -0.15737
8	 16	 9684.887	 1.15642	 2.5661e-03	 2.3863e-03	 9684.83608	 -0.05075	 9684.78300		 -0.10383
8	 17	 9685.124	 1.23294	 2.5272e-03	 2.2760e-03	 9685.81613	 0.69168	 9685.57202		 0.44757
8	 18	 9685.191	 1.27330	 2.5257e-03	 2.2383e-03	 9685.08124	 -0.10991	 9685.18820		 -0.00296
8	 19	 9685.482	 1.20979	 2.5312e-03	 2.3013e-03	 9685.66574	 0.18342	 9685.61614		 0.13382
8	 21	 9685.462	 1.28472	 2.5604e-03	 2.2589e-03	 9685.75827	 0.29631	 9685.51885		 0.05689
8	 22	 9685.665	 1.18996	 2.5196e-03	 2.3098e-03	 9686.46682	 0.80205	 9685.65305		 -0.01173
8	 23	 9685.232	 1.20229	 2.5055e-03	 2.2850e-03	 9685.90011	 0.66826	 9685.50421		 0.27236
8	 24	 9685.026	 1.15965	 2.4906e-03	 2.3128e-03	 9685.29295	 0.26675	 9685.10423		 0.07803
8	 26	 9685.339	 1.31446	 2.5819e-03	 2.2520e-03	 9686.02799	 0.68857	 9685.72459		 0.38518
8	 27	 9685.917	 1.34670	 2.5884e-03	 2.2305e-03	 9686.13466	 0.21725	 9685.95528		 0.03787
8	 28	 9685.320	 1.22228	 2.5360e-03	 2.2939e-03	 9685.18372	 -0.13597	 9685.38614		 0.06645
8	 29	 9685.292	 1.31914	 2.6110e-03	 2.2733e-03	 9685.04466	 -0.24697	 9685.57436		 0.28274
8	 31	 9685.339	 1.26994	 2.5814e-03	 2.2907e-03	 9685.71485	 0.37607	 9685.48973		 0.15095
8	 32	 9685.411	 1.26698	 2.5826e-03	 2.2944e-03	 9685.86330	 0.45278	 9685.24651		 -0.16402
8	 33	 9685.336	 1.22596	 2.5186e-03	 2.2747e-03	 9685.45934	 0.12329	 9685.86143		 0.52537
8	 34	 9685.205	 1.28828	 2.5546e-03	 2.2507e-03	 9685.57169	 0.36703	 9685.31951		 0.11484
8	 36	 9685.517	 1.25124	 2.5675e-03	 2.2953e-03	 9685.29233	 -0.22442	 9685.44282		 -0.07392
8	 37	 9685.285	 1.33933	 2.5929e-03	 2.2405e-03	 9685.82872	 0.54407	 9685.66662		 0.38197
8	 38	 9685.397	 1.36538	 2.6446e-03	 2.2633e-03	 9685.99687	 0.59956	 9685.44956		 0.05225
8	 39	 9685.405	 1.28528	 2.6069e-03	 2.2995e-03	 9685.90057	 0.49545	 9685.33925		 -0.06587
8	 41	 9685.191	 1.23968	 2.5644e-03	 2.3032e-03	 9685.46241	 0.27116	 9685.38222		 0.19097
8	 42	 9685.768	 1.18565	 2.5404e-03	 2.3330e-03	 9685.83560	 0.06796	 9685.96892		 0.20128
8	 43	 9685.164	 1.26494	 2.5279e-03	 2.2476e-03	 9685.06070	 -0.10303	 9685.14277		 -0.02096
8	 44	 9685.547	 1.29574	 2.5805e-03	 2.2670e-03	 9685.67645	 0.12950	 9685.71983		 0.17288
8	 46	 9685.756	 1.38666	 2.5884e-03	 2.1981e-03	 9686.06555	 0.30922	 9686.06590		 0.30957
8	 47	 9685.587	 1.42302	 2.6918e-03	 2.2565e-03	 9685.83654	 0.24960	 9685.51430		 -0.07264
8	 48	 9685.395	 1.31372	 2.5799e-03	 2.2509e-03	 9685.94854	 0.55360	 9685.47038		 0.07545
8	 49	 9685.045	 1.26121	 2.6253e-03	 2.3376e-03	 9684.87178	 -0.17310	 9685.27016		 0.22529
8	 51	 9685.246	 1.32469	 2.6099e-03	 2.2676e-03	 9685.70684	 0.46091	 9685.45410		 0.20818
8	 52	 9685.759	 1.29612	 2.5830e-03	 2.2688e-03	 9686.17162	 0.41240	 9685.76488		 0.00567
8	 53	 9685.650	 1.21341	 2.5284e-03	 2.2953e-03	 9685.69168	 0.04204	 9685.72031		 0.07066
8	 54	 9685.251	 1.23671	 2.5194e-03	 2.2655e-03	 9685.40625	 0.15516	 9685.45943		 0.20834
8	 56	 9685.192	 1.23982	 2.5572e-03	 2.2966e-03	 9684.97882	 -0.21273	 9685.48180		 0.29025
8	 57	 9685.353	 1.21899	 2.5623e-03	 2.3207e-03	 9685.44976	 0.09692	 9685.41217		 0.05933
8	 58	 9685.510	 1.14069	 2.5161e-03	 2.3559e-03	 9685.93807	 0.42809	 9685.36473		 -0.14525
8	 59	 9685.285	 1.26391	 2.5452e-03	 2.2639e-03	 9685.48215	 0.19698	 9685.51103		 0.22587
