# FIT DURATION: 0.01
# RUN	 PULSE	 P FREQ	 PF FREQ	 PF - P	
8	 1	 9684.992	 9684.78285	 -2.0935e-01
8	 2	 9684.719	 9684.58090	 -1.3834e-01
8	 3	 9684.832	 9684.86170	 2.9340e-02
8	 4	 9685.295	 9685.30674	 1.2095e-02
8	 6	 9685.048	 9684.84981	 -1.9836e-01
8	 7	 9684.526	 9684.97049	 4.4436e-01
8	 8	 9685.083	 9684.97613	 -1.0670e-01
8	 9	 9684.847	 9684.39063	 -4.5682e-01
8	 11	 9684.973	 9684.59740	 -3.7539e-01
8	 12	 9685.344	 9685.36936	 2.5279e-02
8	 13	 9685.302	 9685.32045	 1.8321e-02
8	 14	 9684.534	 9684.77153	 2.3789e-01
8	 16	 9684.712	 9684.08432	 -6.2788e-01
8	 17	 9684.431	 9684.26612	 -1.6458e-01
8	 18	 9684.554	 9684.83355	 2.7988e-01
8	 19	 9684.914	 9684.70199	 -2.1165e-01
