# FIT DURATION: 0.017
# RUN	PULSE	P FREQ	     PF FREQ	 PF - P
8	    1	    9685.063	 9685.04651	 -0.0165
8	    2	    9685.017	 9685.07036	 0.0529
8	    3	    9685.008	 9685.13146	 0.1230
8	    4	    9685.384	 9685.49023	 0.1060
8	    6	    9685.329	 9685.23415	 -0.0946
8	    7	    9684.923	 9685.23934	 0.3165
8	    8	    9685.358	 9685.44088	 0.0832
8	    9	    9685.131	 9684.88427	 -0.2464
8	    11	    9685.196	 9684.95323	 -0.2427
8	    12	    9685.522	 9685.65679	 0.1344
8	    13	    9685.349	 9685.33796	 -0.0111
8	    14	    9684.966	 9685.01322	 0.0470
8	    16	    9684.868	 9684.64155	 -0.2269
8	    17	    9684.897	 9684.81507	 -0.0822
8	    18	    9685.008	 9685.14449	 0.1368
8	    19	    9685.205	 9685.08243	 -0.1226
8	    21	    9684.746	 9685.01384	 0.2682
8	    22	    9685.384	 9685.14228	 -0.2414
8	    23	    9685.029	 9685.14711	 0.1180
8	    24	    9684.820	 9685.04618	 0.2266
8	    26	    9685.239	 9685.20917	 -0.0295
8	    27	    9685.694	 9685.46842	 -0.2259
8	    28	    9684.981	 9685.20696	 0.2255
8	    29	    9685.126	 9685.05318	 -0.0724
8	    31	    9685.261	 9684.99140	 -0.2701
8	    32	    9685.241	 9684.96668	 -0.2740
8	    33	    9685.061	 9684.87768	 -0.1832
8	    34	    9685.175	 9685.10328	 -0.0717
8	    36	    9685.225	 9685.42659	 0.2019
8	    37	    9685.203	 9685.05638	 -0.1465
8	    38	    9685.075	 9685.22862	 0.1533
8	    39	    9685.091	 9684.84778	 -0.2433
8	    41	    9685.059	 9684.85061	 -0.2082
8	    42	    9685.396	 9685.27764	 -0.1181
8	    43	    9684.829	 9684.92666	 0.0975
8	    44	    9685.056	 9684.91452	 -0.1411
8	    46	    9685.522	 9685.36807	 -0.1539
8	    47	    9685.047	 9685.16751	 0.1203
8	    48	    9685.478	 9685.40183	 -0.0763
8	    49	    9685.009	 9685.03943	 0.0302
8	    51	    9685.065	 9685.01108	 -0.0540
8	    52	    9685.437	 9685.39778	 -0.0390
8	    53	    9685.142	 9685.17291	 0.0306
8	    54	    9685.224	 9685.16553	 -0.0581
8	    56	    9685.078	 9685.10736	 0.0296
8	    57	    9685.166	 9685.11679	 -0.0491
8	    58	    9685.268	 9685.32923	 0.0608
8	    59	    9685.090	 9685.13577	 0.0453
8	    61	    9685.359	 9685.33865	 -0.0208
8	    62	    9685.250	 9685.32776	 0.0776
8	    63	    9685.535	 9685.73651	 0.2017
8	    64	    9684.989	 9685.18448	 0.1957
8	    66	    9685.003	 9684.88780	 -0.1150
8	    67	    9685.259	 9685.33138	 0.0722
8	    68	    9684.737	 9684.76991	 0.0332
8	    69	    9685.360	 9685.30285	 -0.0570
#8	    71	    9442.712	 9110.21502	 -332.4973
8	    72	    9685.419	 9685.57405	 0.1546
8	    73	    9685.627	 9685.45584	 -0.1714
8	    74	    9685.008	 9685.01099	 0.0032
8	    76	    9685.286	 9685.05475	 -0.2312
8	    77	    9685.644	 9685.27558	 -0.3682
8	    78	    9685.103	 9684.89021	 -0.2132
8	    79	    9685.614	 9685.71109	 0.0972
8	    81	    9685.186	 9685.12640	 -0.0600
8	    82	    9685.039	 9684.92575	 -0.1130
8	    83	    9685.052	 9685.05244	 0.0001
8	    84	    9685.280	 9684.95409	 -0.3259
8	    86	    9685.495	 9685.63929	 0.1442
8	    87	    9685.522	 9685.26183	 -0.2604
8	    88	    9685.549	 9685.36084	 -0.1883
8	    89	    9685.584	 9685.23731	 -0.3464
8	    91	    9685.106	 9685.37515	 0.2690
8	    92	    9684.926	 9684.91033	 -0.0155
8	    93	    9685.067	 9684.91243	 -0.1544
8	    94	    9685.204	 9685.01147	 -0.1920
8	    96	    9684.984	 9684.97024	 -0.0140
8	    97	    9685.521	 9685.49157	 -0.0294
8	    98	    9685.209	 9685.25128	 0.0418
8	    99	    9685.392	 9685.16508	 -0.2266
8	    101	    9685.187	 9685.13938	 -0.0480
8	    102	    9685.197	 9684.92029	 -0.2771
8	    103	    9685.199	 9685.14118	 -0.0578
8	    104	    9685.271	 9685.36237	 0.0912
8	    106	    9685.212	 9684.87079	 -0.3413
8	    107	    9685.205	 9685.44325	 0.2386
8	    108	    9685.093	 9685.11742	 0.0241
8	    109	    9684.903	 9685.06181	 0.1584
#8	    111	    10811.611	 11154.67038	 343.0596
8	    112	    9685.426	 9685.04077	 -0.3849
8	    113	    9685.241	 9685.44999	 0.2089
8	    114	    9685.001	 9685.09370	 0.0928
8	    116	    9684.962	 9684.99356	 0.0320
8	    117	    9685.229	 9685.31421	 0.0853
8	    118	    9684.872	 9684.93303	 0.0614
8	    119	    9685.117	 9685.33788	 0.2205
8	    121	    9685.635	 9685.71155	 0.0764
8	    122	    9684.994	 9684.66172	 -0.3324
8	    123	    9685.182	 9685.22128	 0.0394
8	    124	    9684.842	 9685.07227	 0.2307
8	    126	    9685.006	 9684.81839	 -0.1872
8	    127	    9685.207	 9685.40858	 0.2013
8	    128	    9685.442	 9685.16056	 -0.2815
8	    129	    9684.817	 9685.19607	 0.3796
8	    131	    9685.302	 9684.90948	 -0.3929
8	    132	    9685.467	 9685.28232	 -0.1849
8	    133	    9685.309	 9685.26528	 -0.0435
8	    134	    9685.007	 9685.06955	 0.0625
8	    136	    9685.052	 9685.03869	 -0.0131
8	    137	    9685.326	 9685.37184	 0.0455
8	    138	    9684.896	 9685.13056	 0.2345
8	    139	    9684.851	 9684.92835	 0.0772
8	    141	    9684.927	 9685.30876	 0.3820
8	    142	    9684.969	 9685.09307	 0.1239
8	    143	    9684.791	 9684.72012	 -0.0710
8	    144	    9685.548	 9685.43490	 -0.1128
8	    146	    9685.312	 9685.21941	 -0.0929
8	    147	    9685.216	 9685.12657	 -0.0899
8	    148	    9685.220	 9685.23054	 0.0110
8	    149	    9685.116	 9684.96785	 -0.1483
#8	    151	    11121.998	 13246.40314	 2124.4054
8	    152	    9685.208	 9685.31065	 0.1029
8	    153	    9685.594	 9685.54615	 -0.0482
8	    154	    9685.524	 9685.19261	 -0.3310
8	    156	    9685.046	 9685.41882	 0.3726
8	    157	    9685.405	 9685.44963	 0.0444
8	    158	    9684.925	 9684.90461	 -0.0203
8	    159	    9685.226	 9685.40829	 0.1821
8	    161	    9685.580	 9685.39090	 -0.1889
8	    162	    9685.303	 9685.20008	 -0.1031
8	    163	    9685.229	 9685.34170	 0.1129
8	    164	    9685.370	 9685.56318	 0.1936
8	    166	    9685.013	 9685.06277	 0.0499
8	    167	    9685.065	 9684.93107	 -0.1337
8	    168	    9685.030	 9685.17379	 0.1437
8	    169	    9685.056	 9684.94378	 -0.1121
8	    171	    9685.485	 9685.26007	 -0.2244
8	    172	    9684.925	 9685.13628	 0.2115
8	    173	    9685.431	 9685.40694	 -0.0239
8	    174	    9685.168	 9684.96952	 -0.1987
8	    176	    9685.306	 9685.49024	 0.1838
8	    177	    9685.122	 9685.03079	 -0.0915
8	    178	    9685.055	 9684.96741	 -0.0874
8	    179	    9685.477	 9685.18232	 -0.2949
8	    181	    9685.404	 9685.46328	 0.0589
8	    182	    9685.034	 9684.91687	 -0.1174
8	    183	    9685.627	 9685.57545	 -0.0512
8	    184	    9684.906	 9684.77429	 -0.1314
8	    186	    9684.939	 9685.10175	 0.1628
8	    187	    9685.216	 9685.39859	 0.1821
8	    188	    9685.291	 9684.93324	 -0.3579
